PM2.5,PM10,Temp,Humidity,hour,pm25_lag_1,pm25_lag_2,temp_lag_1
41.45,51.2,29.875,92.07,2,41.35,41.25,30.1
41.55,51.8,29.650000000000002,93.58,3,41.45,41.35,29.875
41.65,52.4,29.425,95.08999999999999,4,41.55,41.45,29.650000000000002
41.75,53.0,29.200000000000003,96.6,5,41.65,41.55,29.425
39.8125,49.75,30.150000000000002,92.39999999999999,6,41.75,41.65,29.200000000000003
37.875,46.5,31.1,88.19999999999999,7,39.8125,41.75,30.150000000000002
35.9375,43.25,32.05,84.0,8,37.875,39.8125,31.1
34.0,40.0,33.0,79.8,9,35.9375,37.875,32.05
40.97666666666667,52.123333333333335,34.6,73.4,10,34.0,35.9375,33.0
41.2,53.2,38.5,61.5,11,40.97666666666667,34.0,34.6
33.71,41.21,38.0,62.5,12,41.2,40.97666666666667,38.5
38.3175,51.9075,37.5,63.5,13,33.71,41.2,38.0
26.0,33.04,39.94285714285714,56.57142857142857,14,38.3175,33.71,37.5
23.275,26.0,36.449999999999996,65.58333333333333,15,26.0,38.3175,39.94285714285714
23.734,25.584,35.76666666666667,67.56666666666666,16,23.275,26.0,36.449999999999996
24.125,33.875,32.4,79.1,17,23.734,23.275,35.76666666666667
24.983333333333334,31.8,31.5,83.57142857142857,18,24.125,23.734,32.4
26.0125,34.34375,31.0,86.38888888888889,19,24.983333333333334,24.125,31.5
29.04375,35.21875,30.75,88.2,20,26.0125,24.983333333333334,31.0
29.574,35.480000000000004,30.5,89.31666666666666,21,29.04375,26.0125,30.75
30.705375,37.88875,30.35,90.16458333333333,22,29.574,29.04375,30.5
31.836750000000002,40.2975,30.2,91.01249999999999,23,30.705375,29.574,30.35
32.968125,42.706250000000004,30.05,91.86041666666667,0,31.836750000000002,30.705375,30.2
34.0995,45.115,29.9,92.70833333333333,1,32.968125,31.836750000000002,30.05
35.230875,47.52375,29.75,93.55624999999999,2,34.0995,32.968125,29.9
36.36225,49.932500000000005,29.6,94.40416666666667,3,35.230875,34.0995,29.75
37.493625,52.34125,29.45,95.25208333333333,4,36.36225,35.230875,29.6
38.625,54.75,29.3,96.1,5,37.493625,36.36225,29.45
35.15777777777778,49.70222222222222,32.13333333333333,86.13333333333333,6,38.625,37.493625,29.3
31.690555555555555,44.654444444444444,34.96666666666667,76.16666666666667,7,35.15777777777778,38.625,32.13333333333333
28.223333333333333,39.60666666666666,37.8,66.2,8,31.690555555555555,35.15777777777778,34.96666666666667
31.55,42.35666666666666,38.599999999999994,61.45,9,28.223333333333333,31.690555555555555,37.8
33.75,44.0,39.089999999999996,60.265,10,31.55,28.223333333333333,38.599999999999994
33.526666666666664,44.25,39.58,59.08,11,33.75,31.55,39.089999999999996
30.09375,39.5125,39.385714285714286,59.6,12,33.526666666666664,33.75,39.58
24.928571428571427,31.957142857142856,38.275,61.3,13,30.09375,33.526666666666664,39.385714285714286
25.583333333333332,32.26333333333333,38.38333333333333,60.28333333333333,14,24.928571428571427,30.09375,38.275
26.635714285714283,32.528571428571425,37.6,61.84285714285714,15,25.583333333333332,24.928571428571427,38.38333333333333
25.9,32.69375,35.31428571428571,68.21428571428571,16,26.635714285714283,25.583333333333332,37.6
24.771250000000002,31.56625,32.475,77.4875,17,25.9,26.635714285714283,35.31428571428571
30.0,39.86,31.857142857142858,80.71428571428571,18,24.771250000000002,25.9,32.475
38.4,53.85,31.7,81.96666666666667,19,30.0,24.771250000000002,31.857142857142858
31.2,34.4,31.5,84.475,20,38.4,30.0,31.7
30.84222222222222,40.525555555555556,31.1125,86.675,21,31.2,38.4,31.5
31.996666666666666,40.413333333333334,30.900000000000002,87.92857142857143,22,30.84222222222222,31.2,31.1125
33.4,44.7,30.771428571428572,89.01428571428572,23,31.996666666666666,30.84222222222222,30.900000000000002
35.62428571428571,48.76142857142857,30.766666666666666,89.1888888888889,0,33.4,31.996666666666666,30.771428571428572
35.554920634920634,48.56571428571428,30.8,89.2,1,35.62428571428571,33.4,30.766666666666666
35.48555555555556,48.37,31.725,86.1375,2,35.554920634920634,35.62428571428571,30.8
35.41619047619047,48.17428571428571,32.65,83.075,3,35.48555555555556,35.554920634920634,31.725
35.346825396825395,47.97857142857143,33.575,80.0125,4,35.41619047619047,35.48555555555556,32.65
35.27746031746032,47.78285714285714,34.5,76.94999999999999,5,35.346825396825395,35.41619047619047,33.575
35.20809523809524,47.58714285714286,35.425000000000004,73.88749999999999,6,35.27746031746032,35.346825396825395,34.5
35.138730158730155,47.39142857142857,36.35,70.82499999999999,7,35.20809523809524,35.27746031746032,35.425000000000004
35.06936507936508,47.19571428571429,37.275000000000006,67.76249999999999,8,35.138730158730155,35.20809523809524,36.35
35.0,47.0,38.2,64.69999999999999,9,35.06936507936508,35.138730158730155,37.275000000000006
32.8125,40.4375,38.275000000000006,64.19999999999999,10,35.0,35.06936507936508,38.2
30.625,33.875,38.35,63.7,11,32.8125,35.0,38.275000000000006
29.0,36.4,35.94,69.22,12,30.625,32.8125,38.35
29.016,38.215999999999994,35.88333333333333,69.41666666666667,13,29.0,30.625,35.94
25.996666666666666,34.65833333333333,36.475,66.525,14,29.016,29.0,35.88333333333333
25.225714285714282,32.21,34.88,69.9,15,25.996666666666666,29.016,36.475
28.784000000000002,38.55,33.38333333333333,75.33333333333333,16,25.225714285714282,25.996666666666666,34.88
28.5,38.81666666666667,32.42,79.34,17,28.784000000000002,25.225714285714282,33.38333333333333
30.632857142857144,38.49,31.811111111111114,83.61111111111111,18,28.5,28.784000000000002,32.42
32.3,42.4625,31.6375,85.3375,19,30.632857142857144,28.5,31.811111111111114
33.05,41.97,31.5,85.75,20,32.3,30.632857142857144,31.6375
35.1725,45.43125,31.35,85.97999999999999,21,33.05,32.3,31.5
28.25,39.5,31.3,86.60000000000001,22,35.1725,33.05,31.35
29.51904761904762,40.72380952380952,31.164285714285715,87.34285714285716,23,28.25,35.1725,31.3
30.788095238095238,41.94761904761905,31.02857142857143,88.08571428571429,0,29.51904761904762,28.25,31.164285714285715
32.05714285714286,43.17142857142857,30.892857142857142,88.82857142857144,1,30.788095238095238,29.51904761904762,31.02857142857143
33.326190476190476,44.39523809523809,30.75714285714286,89.57142857142857,2,32.05714285714286,30.788095238095238,30.892857142857142
34.595238095238095,45.61904761904761,30.621428571428574,90.31428571428572,3,33.326190476190476,32.05714285714286,30.75714285714286
35.864285714285714,46.84285714285714,30.485714285714288,91.05714285714285,4,34.595238095238095,33.326190476190476,30.621428571428574
37.13333333333333,48.06666666666666,30.35,91.8,5,35.864285714285714,34.595238095238095,30.485714285714288
36.64,47.65333333333333,31.864,86.096,6,37.13333333333333,35.864285714285714,30.35
36.14666666666667,47.239999999999995,33.378,80.392,7,36.64,37.13333333333333,31.864
35.65333333333333,46.82666666666667,34.892,74.68799999999999,8,36.14666666666667,36.64,33.378
